col,k,acc_test
Correlation,1,0.952
Correlation,2,0.944
Correlation,3,0.966
Correlation,4,0.948
Correlation,5,0.958
Correlation,6,0.95
Correlation,7,0.964
Correlation,8,0.95
Correlation,9,0.958
Correlation,10,0.958
Correlation,11,0.952
Correlation,12,0.952
Correlation,13,0.954
Correlation,14,0.95
Correlation,15,0.944
Correlation,16,0.94
Correlation,17,0.942
Correlation,18,0.944
Correlation,19,0.94
Correlation,20,0.936
Correlation,21,0.936
Correlation,22,0.94
Correlation,23,0.938
Correlation,24,0.934
Correlation,25,0.934
Correlation,26,0.938
Correlation,27,0.928
Correlation,28,0.932
Correlation,29,0.924
Correlation,30,0.922
Correlation,31,0.926
